FID;F_NAME;F_TYPE;ADDRESS;CITY;EASTING;NORTHING;COMMENTS;ZIPCODE;CREATE_DAT;MODIFY_DAT;AUDIT_DATE;geo_shape;geo_point_2d
0;Bama Grocery;Convenience Store;2310 University Dr NW;Huntsville;424307.056302;1542940.26523;Grocery;35816;;;;"{""coordinates"": [-86.60506581568607, 34.73846946862239], ""type"": ""Point""}";34.73846946862239, -86.60506581568607
30;Publix;Supermarket;12796 Bailey Cove Rd SE;Huntsville;443999.333847;1500690.83169;Grocery;35803;;;;"{""coordinates"": [-86.53854127670171, 34.62278813837662], ""type"": ""Point""}";34.62278813837662, -86.53854127670171
129;Sprouts Farmers Market;Supermarket;7504 US 72 W Hwy NW Unit B;Madison;387012.780169;1550505.49289;Grocery;35757;;;;"{""coordinates"": [-86.7294090423194, 34.75840379374207], ""type"": ""Point""}";34.75840379374207, -86.7294090423194
1;El Arcoiris Grocery Store;Specialty;14881 US 231-431 N Hwy;Hazel Green;434964.444108;1621582.43472;Grocery;35750;;;;"{""coordinates"": [-86.57152303942026, 34.95474850729072], ""type"": ""Point""}";34.95474850729072, -86.57152303942026
34;Super Target;Supermarket;2750 Carl T Jones  Dr SE Unit 17;Huntsville;442016.729872;1519655.18254;Grocery;35802;;;;"{""coordinates"": [-86.5455761107181, 34.67485401861963], ""type"": ""Point""}";34.67485401861963, -86.5455761107181
132;Wavaho;Convenience Store;611 US 72 E Hwy NW;Huntsville;432273.367141;1551184.77991;Convenience Store;35811;;;;"{""coordinates"": [-86.57875604447278, 34.761285663568344], ""type"": ""Point""}";34.761285663568344, -86.57875604447278
12;Kroger;Supermarket;2110 Oakwood Ave NW;Huntsville;425701.030548;1547360.8453;Grocery;35810;;;;"{""coordinates"": [-86.60053872580062, 34.750643884461695], ""type"": ""Point""}";34.750643884461695, -86.60053872580062
56;Johnson Discount Mart;Convenience Store;3001 Johnson Rd SW;Huntsville;424624.56879;1525464.18897;Convenience Store;35805;;;;"{""coordinates"": [-86.60356377918801, 34.690462163229085], ""type"": ""Point""}";34.690462163229085, -86.60356377918801
143;Vettes Stop & Shop;Convenience Store;708 Poplar Ave NW;Huntsville;424261.269976;1543646.42491;Convenience Store;35816;;;;"{""coordinates"": [-86.60523624379903, 34.74040860652464], ""type"": ""Point""}";34.74040860652464, -86.60523624379903
13;Kroger;Supermarket;2009 Drake Ave SW;Huntsville;428741.407669;1530088.57473;Grocery;35801;;;;"{""coordinates"": [-86.58998580070445, 34.70325311235114], ""type"": ""Point""}";34.70325311235114, -86.58998580070445
194;Mapco Express;Convenience Store;7131 US 72 W Hwy NW;Huntsville;391705.328855;1549033.70515;Convenience Store;35806;;;;"{""coordinates"": [-86.713745266294, 34.754474281142286], ""type"": ""Point""}";34.754474281142286, -86.713745266294
163;EZ Mart;Convenience Store;5990 Pulaski Pke NW;Huntsville;421247.739914;1562718.27784;Convenience Store;35810;;;;"{""coordinates"": [-86.61576029056938, 34.79274228595105], ""type"": ""Point""}";34.79274228595105, -86.61576029056938
19;La Colonial Tienda Mexicana;Specialty;1222 Jordan Ln NW;Huntsville;417571.384734;1543917.74917;Grocery;35816;;;;"{""coordinates"": [-86.62750882560422, 34.74101088850837], ""type"": ""Point""}";34.74101088850837, -86.62750882560422
14;Kroger;Supermarket;8404 Memorial Pky SW;Huntsville;434222.272692;1513115.36065;Grocery;35802;;;;"{""coordinates"": [-86.57133836138004, 34.65673193465936], ""type"": ""Point""}";34.65673193465936, -86.57133836138004
215;Raeds Quick Stop;Convenience Store;1600 Jordan Ln NW;Huntsville;416884.044901;1544933.17792;Convenience Store;35816;;;;"{""coordinates"": [-86.62982323495487, 34.7437857216251], ""type"": ""Point""}";34.7437857216251, -86.62982323495487
178;MinitMan;Convenience Store;4001 University Dr NW;Huntsville;417360.281154;1541501.34587;Convenience Store;35816;;;;"{""coordinates"": [-86.62814785367368, 34.734367511526614], ""type"": ""Point""}";34.734367511526614, -86.62814785367368
20;Mike's Mini Mart;Convenience Store;2525 Winchester Rd NW;Huntsville;425375.151279;1562620.60875;Grocery;35810;;;;"{""coordinates"": [-86.60201212682527, 34.79256154131043], ""type"": ""Point""}";34.79256154131043, -86.60201212682527
23;Progreso Tienda Mexicana;Specialty;4320 University Dr NW;Huntsville;415496.013885;1542060.58688;Grocery;35816;;;;"{""coordinates"": [-86.63436691273722, 34.73586331735464], ""type"": ""Point""}";34.73586331735464, -86.63436691273722
253;Sure Save Pharmacy;Drugstore;6046 AL 53 Hwy;Harvest;391542.489942;1583972.18711;Drug and General Merchandise;35749;;;;"{""coordinates"": [-86.7153091747898, 34.85045671610468], ""type"": ""Point""}";34.85045671610468, -86.7153091747898
192;Mini Mart;Convenience Store;4302 University Dr NW;Huntsville;415762.937892;1541916.11308;Convenience Store;35816;;;;"{""coordinates"": [-86.63347475482145, 34.735472231439545], ""type"": ""Point""}";34.735472231439545, -86.63347475482145
27;Publix;Supermarket;8000 Al 20 Hwy W;Madison;390132.936658;1526253.27367;Grocery;35758;;;;"{""coordinates"": [-86.71831209214331, 34.69185098302007], ""type"": ""Point""}";34.69185098302007, -86.71831209214331
65;Parkway Express;Convenience Store;11550 Memorial Pky SW;Huntsville;435188.292742;1499873.95537;Convenience Store;35803;;;;"{""coordinates"": [-86.56780561824239, 34.62037097328183], ""type"": ""Point""}";34.62037097328183, -86.56780561824239
22;Piggly Wiggly of Gurley;Supermarket;6327 US 72 Hwy;Gurley;494679.617656;1526873.88464;Grocery;35748;;;;"{""coordinates"": [-86.37056141514093, 34.69558531690234], ""type"": ""Point""}";34.69558531690234, -86.37056141514093
195;Mapco Mart;Convenience Store;905 Memorial Pky NW;Huntsville;425604.175755;1543204.85722;Convenience Store;35801;;;;"{""coordinates"": [-86.60075551348287, 34.73922368705349], ""type"": ""Point""}";34.73922368705349, -86.60075551348287
28;Publix;Supermarket;4851 Whitesburg Dr SE Unit B;Huntsville;435863.720197;1526425.544;Grocery;35802;;;;"{""coordinates"": [-86.56620275007332, 34.69333397006306], ""type"": ""Point""}";34.69333397006306, -86.56620275007332
74;72 Quick Stop;Convenience Store;6270 US 72 Hwy E;Gurley;493709.087445;1526445.5;Convenience Store;35748;;;;"{""coordinates"": [-86.37378232644852, 34.69439403419348], ""type"": ""Point""}";34.69439403419348, -86.37378232644852
